146857 objects to copy.
25500/131102 (25500 copied 4.47GB, 0 missing, 0 errors) — 21.1/s
26000/131102 (26000 copied 4.49GB, 0 missing, 0 errors) — 21.2/s
26500/131102 (26500 copied 4.51GB, 0 missing, 0 errors) — 21.2/s
27000/131102 (27000 copied 4.52GB, 0 missing, 0 errors) — 21.3/s
27500/131102 (27500 copied 4.54GB, 0 missing, 0 errors) — 21.3/s
28000/131102 (28000 copied 4.56GB, 0 missing, 0 errors) — 21.4/s
28500/131102 (28500 copied 4.58GB, 0 missing, 0 errors) — 21.4/s
29000/131102 (29000 copied 4.59GB, 0 missing, 0 errors) — 21.5/s
29500/131102 (29500 copied 4.62GB, 0 missing, 0 errors) — 21.5/s
30000/131102 (30000 copied 4.63GB, 0 missing, 0 errors) — 21.5/s
30500/131102 (30500 copied 4.74GB, 0 missing, 0 errors) — 21.5/s
31000/131102 (31000 copied 4.92GB, 0 missing, 0 errors) — 21.5/s
31500/131102 (31500 copied 5.10GB, 0 missing, 0 errors) — 21.5/s
32000/131102 (32000 copied 5.31GB, 0 missing, 0 errors) — 21.4/s
32500/131102 (32500 copied 5.48GB, 0 missing, 0 errors) — 21.4/s
33000/131102 (33000 copied 5.49GB, 0 missing, 0 errors) — 21.4/s
33500/131102 (33500 copied 5.49GB, 0 missing, 0 errors) — 21.5/s
34000/131102 (34000 copied 5.50GB, 0 missing, 0 errors) — 21.5/s
34500/131102 (34500 copied 5.50GB, 0 missing, 0 errors) — 21.6/s
35000/131102 (35000 copied 5.51GB, 0 missing, 0 errors) — 21.6/s
35500/131102 (35500 copied 5.51GB, 0 missing, 0 errors) — 21.7/s
36000/131102 (36000 copied 5.52GB, 0 missing, 0 errors) — 21.7/s
36500/131102 (36500 copied 5.56GB, 0 missing, 0 errors) — 21.7/s
37000/131102 (37000 copied 5.57GB, 0 missing, 0 errors) — 21.8/s
37500/131102 (37500 copied 5.58GB, 0 missing, 0 errors) — 21.8/s
38000/131102 (38000 copied 5.59GB, 0 missing, 0 errors) — 21.8/s
38500/131102 (38500 copied 5.60GB, 0 missing, 0 errors) — 21.9/s
39000/131102 (39000 copied 5.61GB, 0 missing, 0 errors) — 21.9/s
39500/131102 (39500 copied 5.62GB, 0 missing, 0 errors) — 21.9/s
40000/131102 (40000 copied 5.63GB, 0 missing, 0 errors) — 22.0/s
40500/131102 (40500 copied 5.64GB, 0 missing, 0 errors) — 22.0/s
41000/131102 (41000 copied 5.65GB, 0 missing, 0 errors) — 22.0/s
41500/131102 (41500 copied 5.69GB, 0 missing, 0 errors) — 21.8/s
42000/131102 (42000 copied 5.70GB, 0 missing, 0 errors) — 21.9/s
42500/131102 (42500 copied 5.74GB, 0 missing, 0 errors) — 21.9/s
43000/131102 (43000 copied 5.81GB, 0 missing, 0 errors) — 21.8/s
43500/131102 (43500 copied 5.86GB, 0 missing, 0 errors) — 21.8/s
44000/131102 (44000 copied 5.91GB, 0 missing, 0 errors) — 21.8/s
44500/131102 (44500 copied 5.99GB, 0 missing, 0 errors) — 21.8/s
45000/131102 (45000 copied 6.15GB, 0 missing, 0 errors) — 21.8/s
45500/131102 (45500 copied 6.56GB, 0 missing, 0 errors) — 21.7/s
46000/131102 (46000 copied 6.80GB, 0 missing, 0 errors) — 21.7/s
46500/131102 (46500 copied 6.95GB, 0 missing, 0 errors) — 21.7/s
47000/131102 (47000 copied 7.34GB, 0 missing, 0 errors) — 21.6/s
47500/131102 (47500 copied 7.47GB, 0 missing, 0 errors) — 21.5/s
48000/131102 (48000 copied 7.58GB, 0 missing, 0 errors) — 21.5/s
48500/131102 (48500 copied 7.59GB, 0 missing, 0 errors) — 21.5/s
49000/131102 (49000 copied 7.62GB, 0 missing, 0 errors) — 21.6/s
49500/131102 (49500 copied 8.10GB, 0 missing, 0 errors) — 21.5/s
50000/131102 (50000 copied 8.29GB, 0 missing, 0 errors) — 21.5/s
50500/131102 (50500 copied 8.32GB, 0 missing, 0 errors) — 21.5/s
51000/131102 (51000 copied 8.50GB, 0 missing, 0 errors) — 21.4/s
51500/131102 (51500 copied 8.89GB, 0 missing, 0 errors) — 21.4/s
52000/131102 (52000 copied 9.04GB, 0 missing, 0 errors) — 21.3/s
52500/131102 (52500 copied 9.23GB, 0 missing, 0 errors) — 21.3/s
53000/131102 (53000 copied 9.43GB, 0 missing, 0 errors) — 21.2/s
53500/131102 (53500 copied 9.62GB, 0 missing, 0 errors) — 21.1/s
54000/131102 (54000 copied 9.82GB, 0 missing, 0 errors) — 21.1/s
54500/131102 (54500 copied 9.97GB, 0 missing, 0 errors) — 21.1/s
55000/131102 (55000 copied 10.29GB, 0 missing, 0 errors) — 21.0/s
55500/131102 (55500 copied 10.40GB, 0 missing, 0 errors) — 21.0/s
56000/131102 (56000 copied 10.54GB, 0 missing, 0 errors) — 20.9/s
56500/131102 (56500 copied 10.67GB, 0 missing, 0 errors) — 20.9/s
57000/131102 (57000 copied 10.81GB, 0 missing, 0 errors) — 20.9/s
57500/131102 (57500 copied 10.94GB, 0 missing, 0 errors) — 20.8/s
58000/131102 (58000 copied 11.05GB, 0 missing, 0 errors) — 20.8/s
58500/131102 (58500 copied 11.13GB, 0 missing, 0 errors) — 20.8/s
59000/131102 (59000 copied 11.27GB, 0 missing, 0 errors) — 20.8/s
59500/131102 (59500 copied 11.36GB, 0 missing, 0 errors) — 20.8/s
60000/131102 (60000 copied 11.37GB, 0 missing, 0 errors) — 20.8/s
60500/131102 (60500 copied 11.41GB, 0 missing, 0 errors) — 20.8/s
61000/131102 (61000 copied 11.48GB, 0 missing, 0 errors) — 20.9/s
61500/131102 (61500 copied 11.50GB, 0 missing, 0 errors) — 20.9/s
62000/131102 (62000 copied 11.51GB, 0 missing, 0 errors) — 20.9/s
62500/131102 (62500 copied 11.53GB, 0 missing, 0 errors) — 20.9/s
63000/131102 (63000 copied 11.54GB, 0 missing, 0 errors) — 21.0/s
63500/131102 (63500 copied 11.55GB, 0 missing, 0 errors) — 21.0/s
64000/131102 (64000 copied 11.57GB, 0 missing, 0 errors) — 21.0/s
64500/131102 (64500 copied 11.58GB, 0 missing, 0 errors) — 21.0/s
65000/131102 (65000 copied 11.59GB, 0 missing, 0 errors) — 21.0/s
65500/131102 (65500 copied 11.59GB, 0 missing, 0 errors) — 21.1/s
66000/131102 (66000 copied 11.60GB, 0 missing, 0 errors) — 21.1/s
66500/131102 (66500 copied 11.61GB, 0 missing, 0 errors) — 21.1/s
67000/131102 (67000 copied 11.62GB, 0 missing, 0 errors) — 21.1/s
67500/131102 (67500 copied 11.66GB, 0 missing, 0 errors) — 21.1/s
68000/131102 (68000 copied 11.73GB, 0 missing, 0 errors) — 21.1/s
68500/131102 (68500 copied 11.85GB, 0 missing, 0 errors) — 21.1/s
69000/131102 (69000 copied 11.86GB, 0 missing, 0 errors) — 21.1/s
69500/131102 (69500 copied 11.89GB, 0 missing, 0 errors) — 21.2/s
70000/131102 (70000 copied 11.99GB, 0 missing, 0 errors) — 21.1/s
70500/131102 (70500 copied 12.07GB, 0 missing, 0 errors) — 21.1/s
71000/131102 (71000 copied 12.36GB, 0 missing, 0 errors) — 21.1/s
71500/131102 (71500 copied 12.65GB, 0 missing, 0 errors) — 21.1/s
72000/131102 (72000 copied 12.82GB, 0 missing, 0 errors) — 21.1/s
72500/131102 (72500 copied 12.86GB, 0 missing, 0 errors) — 21.1/s
73000/131102 (73000 copied 12.94GB, 0 missing, 0 errors) — 21.1/s
73500/131102 (73500 copied 13.00GB, 0 missing, 0 errors) — 21.1/s
74000/131102 (74000 copied 13.30GB, 0 missing, 0 errors) — 21.1/s
74500/131102 (74500 copied 13.31GB, 0 missing, 0 errors) — 21.1/s
75000/131102 (75000 copied 13.32GB, 0 missing, 0 errors) — 21.1/s
75500/131102 (75500 copied 13.46GB, 0 missing, 0 errors) — 21.1/s
76000/131102 (76000 copied 13.61GB, 0 missing, 0 errors) — 21.1/s
76500/131102 (76500 copied 13.75GB, 0 missing, 0 errors) — 21.1/s
77000/131102 (77000 copied 13.87GB, 0 missing, 0 errors) — 21.0/s
77500/131102 (77500 copied 14.09GB, 0 missing, 0 errors) — 21.0/s
78000/131102 (78000 copied 14.36GB, 0 missing, 0 errors) — 21.0/s
78500/131102 (78500 copied 14.57GB, 0 missing, 0 errors) — 21.0/s
79000/131102 (79000 copied 14.64GB, 0 missing, 0 errors) — 21.0/s
79500/131102 (79500 copied 14.67GB, 0 missing, 0 errors) — 21.0/s
80000/131102 (80000 copied 14.70GB, 0 missing, 0 errors) — 21.0/s
80500/131102 (80500 copied 14.72GB, 0 missing, 0 errors) — 21.0/s
81000/131102 (81000 copied 14.74GB, 0 missing, 0 errors) — 21.1/s
81500/131102 (81500 copied 14.76GB, 0 missing, 0 errors) — 21.1/s
82000/131102 (82000 copied 14.79GB, 0 missing, 0 errors) — 21.1/s
82500/131102 (82500 copied 14.82GB, 0 missing, 0 errors) — 21.1/s
83000/131102 (83000 copied 14.86GB, 0 missing, 0 errors) — 21.1/s
83500/131102 (83500 copied 14.92GB, 0 missing, 0 errors) — 21.1/s
84000/131102 (84000 copied 14.94GB, 0 missing, 0 errors) — 21.1/s
84500/131102 (84500 copied 14.96GB, 0 missing, 0 errors) — 21.1/s
85000/131102 (85000 copied 14.97GB, 0 missing, 0 errors) — 21.1/s
85500/131102 (85500 copied 15.00GB, 0 missing, 0 errors) — 21.1/s
86000/131102 (86000 copied 15.02GB, 0 missing, 0 errors) — 21.1/s
86500/131102 (86500 copied 15.06GB, 0 missing, 0 errors) — 21.2/s
87000/131102 (87000 copied 15.08GB, 0 missing, 0 errors) — 21.2/s
87500/131102 (87500 copied 15.10GB, 0 missing, 0 errors) — 21.2/s
88000/131102 (88000 copied 15.12GB, 0 missing, 0 errors) — 21.2/s
88500/131102 (88500 copied 15.14GB, 0 missing, 0 errors) — 21.2/s
89000/131102 (89000 copied 15.20GB, 0 missing, 0 errors) — 21.2/s
89500/131102 (89500 copied 15.22GB, 0 missing, 0 errors) — 21.2/s
90000/131102 (90000 copied 15.23GB, 0 missing, 0 errors) — 21.3/s
90500/131102 (90500 copied 15.25GB, 0 missing, 0 errors) — 21.3/s
91000/131102 (91000 copied 15.27GB, 0 missing, 0 errors) — 21.3/s
91500/131102 (91500 copied 15.29GB, 0 missing, 0 errors) — 21.3/s
92000/131102 (92000 copied 15.31GB, 0 missing, 0 errors) — 21.3/s
92500/131102 (92500 copied 15.33GB, 0 missing, 0 errors) — 21.3/s
93000/131102 (93000 copied 15.35GB, 0 missing, 0 errors) — 21.3/s
93500/131102 (93500 copied 15.37GB, 0 missing, 0 errors) — 21.4/s
94000/131102 (94000 copied 15.47GB, 0 missing, 0 errors) — 21.4/s
94500/131102 (94500 copied 15.61GB, 0 missing, 0 errors) — 21.4/s
95000/131102 (95000 copied 16.20GB, 0 missing, 0 errors) — 21.3/s
95500/131102 (95500 copied 16.24GB, 0 missing, 0 errors) — 21.3/s
96000/131102 (96000 copied 16.65GB, 0 missing, 0 errors) — 21.3/s
96500/131102 (96500 copied 17.06GB, 0 missing, 0 errors) — 21.3/s
97000/131102 (97000 copied 17.48GB, 0 missing, 0 errors) — 21.2/s
97500/131102 (97500 copied 17.89GB, 0 missing, 0 errors) — 21.2/s
98000/131102 (98000 copied 18.31GB, 0 missing, 0 errors) — 21.2/s
98500/131102 (98500 copied 18.58GB, 0 missing, 0 errors) — 21.2/s
99000/131102 (99000 copied 18.80GB, 0 missing, 0 errors) — 21.1/s
99500/131102 (99500 copied 19.05GB, 0 missing, 0 errors) — 21.1/s
100000/131102 (100000 copied 19.29GB, 0 missing, 0 errors) — 21.1/s
100500/131102 (100500 copied 19.54GB, 0 missing, 0 errors) — 21.1/s
101000/131102 (101000 copied 19.78GB, 0 missing, 0 errors) — 21.0/s
101500/131102 (101500 copied 19.89GB, 0 missing, 0 errors) — 21.0/s
102000/131102 (102000 copied 19.92GB, 0 missing, 0 errors) — 21.0/s
102500/131102 (102500 copied 19.95GB, 0 missing, 0 errors) — 21.0/s
103000/131102 (103000 copied 19.98GB, 0 missing, 0 errors) — 21.1/s
103500/131102 (103500 copied 20.01GB, 0 missing, 0 errors) — 21.1/s
104000/131102 (104000 copied 20.04GB, 0 missing, 0 errors) — 21.1/s
104500/131102 (104500 copied 20.07GB, 0 missing, 0 errors) — 21.1/s
105000/131102 (105000 copied 20.10GB, 0 missing, 0 errors) — 21.1/s
