dictionary_id,bucket,reason
"ghegalbanian",unlisted,"default real private"
"ghezken",delete,"1 entries, stale since 2022-10-27"
"gio-english",glossary,"hand-reviewed"
"giomo",conlang,"self-declared conlang"
"girlangue-ghana",glossary,"hand-reviewed"
"giver",glossary,"hand-reviewed"
"glibglorbian",delete,"0 entries, stale since 2025-01-17"
"glosario-de-coloquialismo",glossary,"hand-reviewed"
"glosario-de-terminos-util",glossary,"hand-reviewed"
"glosariocoloquialismopesc",glossary,"hand-reviewed"
"goblinese",delete,"1 entries, stale since 2025-04-12"
"goblins",conlang,"self-declared conlang"
"gobol",conlang,"self-declared conlang"
"god-is-goo",conlang,"hand-reviewed"
"gondi",delete,"0 entries, stale since 2023-02-15"
"goofcode",conlang,"self-declared conlang"
"goofy-terms",glossary,"hand-reviewed"
"gooish",conlang,"hand-reviewed"
"goonette-nation",delete,"1 entries, stale since 2025-05-23"
"gosavi",unlisted,"hand-reviewed"
"gothic",delete,"0 entries, stale since 2024-10-31"
"greenwichic",conlang,"self-declared conlang"
"gremily",conlang,"self-declared conlang"
"grit",conlang,"hand-reviewed"
"grosse-pidgeon-alphbet",conlang,"self-declared conlang"
"gta",public,"publicly listed"
"guachichil",unlisted,"default real private"
"guanche",unlisted,"hand-reviewed"
"guarani",public,"publicly listed"
"guarani-oriental-bolivian",delete,"0 entries, stale since 2024-11-22"
"guarani-simba",delete,"0 entries, stale since 2023-06-28"
"guardic",conlang,"self-declared conlang"
"guaycura",public,"publicly listed"
"guazapar",unlisted,"default real private"
"guernesiais",delete,"0 entries, stale since 2025-05-12"
"gutob",public,"publicly listed"
"guult",conlang,"self-declared conlang"
"guwar",unlisted,"default real private"
"gwichin",public,"publicly listed"
"gwlan",conlang,"self-declared conlang"
"hababah",delete,"1 entries, stale since 2025-03-27"
"habla-coloquial-de-cd-ju",glossary,"hand-reviewed"
"hablacoloquialbumanguesa",glossary,"hand-reviewed"
"hablajuvenilredesecuador",glossary,"hand-reviewed"
"hahbahya",conlang,"self-declared conlang"
"haida",delete,"0 entries, stale since 2022-10-27"
"haidalanguage",unlisted,"default real private"
"haig",conlang,"self-declared conlang"
"hakka-shenzhen",unlisted,"default real private"
"hakunadan",conlang,"self-declared conlang"
"haliti-paresi",delete,"0 entries, stale since 2024-10-07"
"halkomelem",delete,"1 entries, stale since 2022-10-27"
"han",unlisted,"default real private"
"hanis",delete,"1 entries, stale since 2024-10-28"
"hanna",glossary,"hand-reviewed"
"hanselaff",conlang,"self-declared conlang"
"hanunuo",unlisted,"hand-reviewed"
"hanyno",conlang,"self-declared conlang"
"harder-english",conlang,"hand-reviewed"
"harry-poter-charms-with-c",conlang,"self-declared conlang"
"harry-poter-spells-charms",glossary,"hand-reviewed"
"harry-potter",glossary,"hand-reviewed"
"harry-potter-dictionary",conlang,"self-declared conlang"
"harry-potter-magic-spell",glossary,"hand-reviewed"
"haryanvi",public,"publicly listed"
"hashaqte",conlang,"hand-reviewed"
"hate",delete,"2 entries, stale since 2025-03-12"
"hattof",conlang,"hand-reviewed"
"hausa",delete,"0 entries, stale since 2020-05-11"
"hawkdenish",conlang,"hand-reviewed"
"haywen",conlang,"self-declared conlang"
"haywhy",conlang,"self-declared conlang"
"hazaragi",public,"publicly listed"
"hátxa-kuin",public,"publicly listed"
"heathens-will-rise",delete,"2 entries, stale since 2025-06-29"
"hebreo",delete,"hand-reviewed"
"heidi-lee-research",conlang,"self-declared conlang"
"heidilee",conlang,"self-declared conlang"
"henrish",conlang,"self-declared conlang"
"heratic",conlang,"self-declared conlang"
"hercules",delete,"1 entries, stale since 2022-10-27"
"herero",delete,"0 entries, stale since 2020-02-12"
"hezhe",delete,"1 entries, stale since 2022-10-27"
"hichockian",delete,"2 entries, stale since 2024-10-17"
"high-vweluian",conlang,"self-declared conlang"
"highlander",conlang,"self-declared conlang"
"hindi",public,"publicly listed"
"historia-prawa",delete,"1 entries, stale since 2025-01-28"
"hittite",delete,"2 entries, stale since 2024-11-17"
"hiwatahia-hekexi-taino",delete,"0 entries, stale since 2025-03-01"
"hmoob-dawb",delete,"3 entries, stale since 2025-05-14"
"ho",public,"publicly listed"
"ho-kaji-sobod",delete,"hand-reviewed"
"hokkien",delete,"2 entries, stale since 2022-06-20"
"holikachuck",delete,"0 entries, stale since 2024-04-29"
"holikachuk",unlisted,"hand-reviewed"
"homograph-of-yoruba",unlisted,"default real private"
"honduras-garifuna",unlisted,"hand-reviewed"
"houma-uma",public,"publicly listed"
"houserubane",conlang,"self-declared conlang"
"hr-and-mangament",conlang,"self-declared conlang"
"hre",unlisted,"default real private"
"htanaw",public,"publicly listed"
"huerteno",unlisted,"default real private"
"hugokese",conlang,"self-declared conlang"
"huichol",unlisted,"default real private"
"huitonglanguage",unlisted,"default real private"
"humanities",conlang,"self-declared conlang"
"humss-vocabulary",glossary,"hand-reviewed"
"huzworish",delete,"1 entries, stale since 2022-10-27"
"hyopsis",conlang,"self-declared conlang"
"hánačtina",delete,"1 entries, stale since 2022-10-23"
"háusi-kúta",public,"publicly listed"
"hñotho",delete,"0 entries, stale since 2020-06-26"
"ial-basics",conlang,"self-declared conlang"
"idal",conlang,"self-declared conlang"
"idio",conlang,"self-declared conlang"
"idio-titan",public,"publicly listed"
"idiom-in-chinese",glossary,"hand-reviewed"
"idioma-yanosiano",conlang,"self-declared conlang"
"idioms",delete,"0 entries, stale since 2025-04-25"
"idk",delete,"2 entries, stale since 2025-05-03"
"idkidk",conlang,"self-declared conlang"
"igala",unlisted,"default real private"
"igbo",public,"publicly listed"
"igbo-language-(asusu-igb",delete,"1 entries, stale since 2019-09-10"
"igbo1",delete,"1 entries, stale since 2024-02-05"
"iipay-aa",public,"publicly listed"
"iipayaadictionary",unlisted,"default real private"
"ijesha",conlang,"self-declared conlang"
"ikan",conlang,"self-declared conlang"
"ikbha-bikjhar",conlang,"self-declared conlang"
"ikosesprace",conlang,"self-declared conlang"
"ili-turki",delete,"2 entries, stale since 2022-10-27"
"ilokano",delete,"1 entries, stale since 2022-10-27"
"ima",conlang,"self-declared conlang"
"imagetopic",delete,"1 entries, stale since 2025-05-01"
"imloco",conlang,"self-declared conlang"
"immo",conlang,"self-declared conlang"
"inclusive-language",glossary,"hand-reviewed"
"index-verborum",delete,"0 entries, stale since 2025-03-20"
"indus-kohistani",delete,"1 entries, stale since 2025-05-06"
"ingles",delete,"0 entries, stale since 2024-06-12"
"inglis-diksionari",conlang,"hand-reviewed"
"inglosh",conlang,"self-declared conlang"
"inpui",delete,"0 entries, stale since 2022-10-27"
"inside-jokes",glossary,"hand-reviewed"
"insultos-esp-col-med",glossary,"hand-reviewed"
"intarangul",conlang,"self-declared conlang"
"interesting-learning-in-c",conlang,"self-declared conlang"
"intergermanisch-sprak",conlang,"self-declared conlang"
"intriguish",conlang,"hand-reviewed"
"inuit",conlang,"self-declared conlang"
"inupiaq",public,"publicly listed"
"invertic",conlang,"self-declared conlang"
"iquito",public,"publicly listed"
"iraqi-turkmen",unlisted,"default real private"
"irioctisa",conlang,"self-declared conlang"
"irish",conlang,"self-declared conlang"
"irishdictionary",glossary,"hand-reviewed"
"ishir-chamacoco",public,"publicly listed"
"ishuriaidictionary",delete,"0 entries, stale since 2025-03-15"
"isizulu",delete,"2 entries, stale since 2023-09-29"
"islan",delete,"0 entries, stale since 2024-07-27"
"islian",conlang,"self-declared conlang"
"israelo-tuyserkani",unlisted,"default real private"
"itak-ul",conlang,"self-declared conlang"
"italian-300",glossary,"hand-reviewed"
"italiano",glossary,"hand-reviewed"
"itonama",unlisted,"default real private"
"itsari",unlisted,"hand-reviewed"
"itza",public,"publicly listed"
"iu-mien",conlang,"self-declared conlang"
"ivatan",delete,"0 entries, stale since 2019-09-11"
"ixil",public,"publicly listed"
"izayah-slang",delete,"1 entries, stale since 2025-05-18"
"jaRhn6MAZim4Blvr1iEv",public,"publicly listed"
"jacob-test2",glossary,"hand-reviewed"
"jadictionary",delete,"0 entries, stale since 2025-04-20"
"jaguar",delete,"3 entries, stale since 2025-05-07"
"jakalteko",delete,"0 entries, stale since 2020-02-10"
"jakelliotismo",conlang,"self-declared conlang"
"jakie",delete,"0 entries, stale since 2025-06-17"
"jakorian",delete,"1 entries, stale since 2025-01-23"
"jakorian123456",delete,"1 entries, stale since 2025-03-07"
"jamacisan",delete,"3 entries, stale since 2024-08-28"
"japanese",delete,"0 entries, stale since 2024-12-06"
"japanese-uzbek-english",glossary,"hand-reviewed"
"japonican-language",conlang,"self-declared conlang"
"jarai",unlisted,"default real private"
"jargon",glossary,"hand-reviewed"
"jaunpuri",public,"publicly listed"
"jaunsari",delete,"1 entries, stale since 2022-10-27"
"jaunsari1",public,"publicly listed"
"jayta",conlang,"self-declared conlang"
"jeju",unlisted,"default real private"
"jejueo",public,"publicly listed"
"jejueolang",delete,"0 entries, stale since 2025-06-16"
"jenglish",conlang,"self-declared conlang"
"jerriais",delete,"1 entries, stale since 2025-03-23"
"jewish-neo-aramaic",public,"publicly listed"
"jezyk-grecki",glossary,"hand-reviewed"
"jicarilla-apache",unlisted,"hand-reviewed"
"jigalig",conlang,"self-declared conlang"
"jigaligging",conlang,"self-declared conlang"
"jimish",conlang,"self-declared conlang"
"jirek-daf",conlang,"self-declared conlang"
"joba",unlisted,"default real private"
"jochungul",conlang,"self-declared conlang"
"johari",public,"publicly listed"
"joke",conlang,"self-declared conlang"
"jonanese",conlang,"self-declared conlang"
"joputa",delete,"1 entries, stale since 2025-06-21"
"jorai",conlang,"self-declared conlang"
"joshua-koenig-ottmann-dic",glossary,"hand-reviewed"
"jourrmmound",delete,"0 entries, stale since 2025-04-18"
"jovenesestudiantes",glossary,"hand-reviewed"
"jowita",delete,"0 entries, stale since 2022-05-30"
"jra-dialekta",delete,"1 entries, stale since 2025-05-05"
"jribrish",conlang,"self-declared conlang"
"jrohayn-kreevah",conlang,"self-declared conlang"
"judeo-esfahani",unlisted,"default real private"
"judeo-iraqi-arabic",public,"publicly listed"
"judeo-kashani",public,"publicly listed"
"judeo-kermani",unlisted,"default real private"
"judeo-shirazi",delete,"2 entries, stale since 2022-06-24"
"jukia",conlang,"self-declared conlang"
"justemburgish",conlang,"self-declared conlang"
"jvjhikk",delete,"0 entries, stale since 2025-07-03"
"kaatuamai",conlang,"self-declared conlang"
"kabardian",delete,"hand-reviewed"
"kabi-pouni",conlang,"self-declared conlang"
"kafi-noonoo",delete,"3 entries, stale since 2025-05-23"
"kagyanstan-dictionary",conlang,"self-declared conlang"
"kahluri",delete,"2 entries, stale since 2024-07-31"
"kaibenhaimer",conlang,"self-declared conlang"
"kaifs-dictionary",glossary,"hand-reviewed"
"kaigani-haida",delete,"0 entries, stale since 2022-04-15"
"kaigen",conlang,"self-declared conlang"
"kaitag",unlisted,"default real private"
"kalanga",public,"publicly listed"
"kalenjin",unlisted,"hand-reviewed"
"kalinago",public,"publicly listed"
"kalipona",unlisted,"default real private"
"kaliponam",unlisted,"default real private"
"kalirine",conlang,"self-declared conlang"
"kalivi",conlang,"self-declared conlang"
"kalmyk",unlisted,"default real private"
"kambaata",unlisted,"default real private"
"kamia---kumiai",unlisted,"default real private"
"kamus-banggai-indonesia",delete,"1 entries, stale since 2025-03-19"
"kanashi",delete,"0 entries, stale since 2022-10-27"
"kangjia",delete,"0 entries, stale since 2022-10-27"
"kangke",unlisted,"default real private"
"kangri",delete,"0 entries, stale since 2022-10-27"
"kaniao",conlang,"self-declared conlang"
"kanienkeha",delete,"0 entries, stale since 2025-03-28"
"kankuamo",unlisted,"default real private"
"kannauji",delete,"0 entries, stale since 2022-10-27"
"kanyekeha",unlisted,"default real private"
"kapampangan",delete,"0 entries, stale since 2025-06-12"
"kapen",conlang,"self-declared conlang"
"kapingamarangi",public,"publicly listed"
"kaqchikel",public,"publicly listed"
"kaqchikel-gua",unlisted,"default real private"
"karachay-balkar",delete,"0 entries, stale since 2022-03-26"
"karachaybalkar",delete,"0 entries, stale since 2023-01-11"
"karagash",delete,"1 entries, stale since 2022-10-27"
"karagash-nogai",delete,"3 entries, stale since 2023-05-20"
"karai-karai",unlisted,"default real private"
"karaim",public,"publicly listed"
"karay-a",delete,"0 entries, stale since 2022-10-27"
"karbi",unlisted,"default real private"
"karen-leke",unlisted,"default real private"
"karenleke",unlisted,"hand-reviewed"
"kareum",conlang,"self-declared conlang"
"karf",conlang,"hand-reviewed"
"karjal",delete,"0 entries, stale since 2021-10-11"
"karrffirrafat",conlang,"hand-reviewed"
"kasuni",conlang,"self-declared conlang"
"katakian",conlang,"self-declared conlang"
"katleyana",delete,"0 entries, stale since 2025-03-19"
"katwijks",conlang,"self-declared conlang"
"kauravi",delete,"0 entries, stale since 2022-10-27"
"kaurna",delete,"1 entries, stale since 2024-07-26"
"kawaiisu",unlisted,"default real private"
"kaxuyana",delete,"2 entries, stale since 2024-03-22"
"kayan-baram",unlisted,"hand-reviewed"
"kazakh",delete,"0 entries, stale since 2025-04-09"
"kazan",conlang,"self-declared conlang"
"keety",conlang,"hand-reviewed"
"keigu",conlang,"self-declared conlang"
"kejom",delete,"0 entries, stale since 2022-10-09"
"kenzaneane",conlang,"self-declared conlang"
"kera-mundari",public,"publicly listed"
"keriadin",conlang,"self-declared conlang"
"kernewek",delete,"3 entries, stale since 2023-12-31"
"kettoa",conlang,"self-declared conlang"
"kewapi",delete,"0 entries, stale since 2020-02-12"
"key-concepts-for-language",conlang,"self-declared conlang"
"khamnigan",delete,"3 entries, stale since 2022-10-27"
"kharia",public,"publicly listed"
"kharia1",delete,"0 entries, stale since 2022-03-24"
"khasi",delete,"0 entries, stale since 2022-03-24"
"khasiktien",delete,"0 entries, stale since 2024-05-25"
"khidala",conlang,"self-declared conlang"
"khmu",delete,"1 entries, stale since 2023-05-25"
"khoikhoi",public,"publicly listed"
"kholosi",public,"publicly listed"
"khorchin-mongolian",delete,"2 entries, stale since 2022-10-27"
"khroskyabs",unlisted,"hand-reviewed"
"khumi",unlisted,"default real private"
"khynriam",delete,"1 entries, stale since 2022-03-24"
"kibembe",public,"publicly listed"
"kiche",public,"publicly listed"
"kidawida",public,"publicly listed"
"kidawida-language",unlisted,"default real private"
"kiembu",unlisted,"default real private"
"kihehe",public,"publicly listed"
"kihunde",public,"publicly listed"
"kiikaonde",delete,"0 entries, stale since 2024-10-24"
"kildin-sami",unlisted,"default real private"
"kile",conlang,"self-declared conlang"
"kiliwa",unlisted,"default real private"
"killerbrainrot",conlang,"self-declared conlang"
"kilmanian",conlang,"self-declared conlang"
"kimbundu",delete,"1 entries, stale since 2022-10-27"
"kinjinza",conlang,"self-declared conlang"
"kinyamulenge",delete,"2 entries, stale since 2025-06-24"
"kipsigis",public,"publicly listed"
"kiribati",public,"publicly listed"
"kirimtatarca",delete,"0 entries, stale since 2024-09-03"
"kiriol-guinea-bissau",delete,"0 entries, stale since 2022-10-02"
"kirun",conlang,"self-declared conlang"
"kirundi",delete,"1 entries, stale since 2022-12-14"
"kitanese",glossary,"hand-reviewed"
"kitonese-sanasanskerta",conlang,"self-declared conlang"
"kkk",conlang,"self-declared conlang"
"klivyov",conlang,"self-declared conlang"
"kmeeṭian",delete,"2 entries, stale since 2022-10-27"
"knejce",conlang,"self-declared conlang"
"ko1",conlang,"self-declared conlang"
"kodava",unlisted,"hand-reviewed"
"kofyar",delete,"0 entries, stale since 2025-05-11"
"kogengire",delete,"2 entries, stale since 2025-03-22"
"koloqua",conlang,"self-declared conlang"
"konai",delete,"2 entries, stale since 2024-10-27"
"konkani",delete,"0 entries, stale since 2023-09-13"
"korandje",delete,"2 entries, stale since 2022-03-24"
"korea",unlisted,"default real private"
"korean",glossary,"hand-reviewed"
"korku",public,"publicly listed"
"korring",delete,"0 entries, stale since 2022-10-27"
"korsraean",unlisted,"default real private"
"korwa",delete,"0 entries, stale since 2022-10-27"
"koshur",unlisted,"default real private"
"kosraean",public,"publicly listed"
"kovach",conlang,"self-declared conlang"
"kpdiib",delete,"0 entries, stale since 2024-11-30"
"krekozhan",conlang,"hand-reviewed"
"krenak",unlisted,"default real private"
"kruniflu",conlang,"self-declared conlang"
"ksingmul",unlisted,"hand-reviewed"
"ktp",conlang,"self-declared conlang"
"kuahl",public,"publicly listed"
"kubachi",unlisted,"hand-reviewed"
"kuchean",delete,"0 entries, stale since 2024-11-17"
"kudmali",delete,"1 entries, stale since 2022-07-01"
"kui",delete,"2 entries, stale since 2022-11-16"
"kuirish",conlang,"self-declared conlang"
"kuki",delete,"1 entries, stale since 2022-03-24"
"kukis",delete,"0 entries, stale since 2022-03-24"
"kulia",conlang,"self-declared conlang"
"kulli",unlisted,"default real private"
"kullui",unlisted,"default real private"
"kului",delete,"hand-reviewed"
"kumaiya",public,"publicly listed"
"kuman",public,"publicly listed"
"kumaoni",unlisted,"default real private"
"kummara",delete,"0 entries, stale since 2022-12-22"
"kumyk",public,"publicly listed"
"kurdi",unlisted,"default real private"
"kurdish",delete,"hand-reviewed"
"kurdish-sorani",unlisted,"default real private"
"kurtism",conlang,"self-declared conlang"
"kushikino",delete,"1 entries, stale since 2023-03-22"
"kutchi",unlisted,"default real private"
"kuttybiligkz",unlisted,"default real private"
"kwesx-yuwete-wewnxi",delete,"2 entries, stale since 2025-06-02"
"kyle",glossary,"hand-reviewed"
"la-couleur-du-mot",delete,"1 entries, stale since 2025-01-19"
"la-lingua-furina",conlang,"self-declared conlang"
"lachoudisch",unlisted,"default real private"
"laddish",conlang,"self-declared conlang"
"ladin",unlisted,"default real private"
"ladino",delete,"0 entries, stale since 2022-10-27"
"ladinopublic",unlisted,"default real private"
"laeshi",conlang,"self-declared conlang"
"laferrari",conlang,"self-declared conlang"
"laivesòt",unlisted,"default real private"
"laleng-thar",unlisted,"default real private"
"lampung-sub-dialect-a-kal",delete,"3 entries, stale since 2023-05-23"
"lanc-patua",unlisted,"default real private"
"landbro_dictionary",delete,"0 entries, stale since 2023-04-03"
"lani-wone",unlisted,"default real private"
"lao-ba",conlang,"self-declared conlang"
"lara",glossary,"hand-reviewed"
"lardinian",conlang,"self-declared conlang"
"larionk",conlang,"self-declared conlang"
"laroundus",delete,"1 entries, stale since 2024-06-27"
"larromane-ligura",conlang,"self-declared conlang"
"latin-passiver",delete,"3 entries, stale since 2025-01-21"
"latin-shalish-dictionary",conlang,"self-declared conlang"
"latinenglishdict",glossary,"hand-reviewed"
"lau-zhuo",delete,"0 entries, stale since 2024-12-09"
"laurensien",conlang,"self-declared conlang"
"law-terms",delete,"1 entries, stale since 2025-03-23"
"laz",public,"publicly listed"
"lazali-dialect",conlang,"self-declared conlang"
"lea-fakauvea",unlisted,"default real private"
"leap-forward",conlang,"self-declared conlang"
"learning-irish",conlang,"self-declared conlang"
"learny",delete,"0 entries, stale since 2025-04-05"
"led-glossary",delete,"2 entries, stale since 2022-07-29"
"legal-words",glossary,"hand-reviewed"
"lehik",conlang,"self-declared conlang"
"lemko-rusyn",unlisted,"default real private"
"lenana",glossary,"hand-reviewed"
"lenbali",conlang,"self-declared conlang"
"lengua-espanola",glossary,"hand-reviewed"
"lenguij",delete,"1 entries, stale since 2025-06-09"
"leno",delete,"2 entries, stale since 2025-04-14"
"leo-ybaas-ybarras-dictio",delete,"0 entries, stale since 2020-04-22"
"leonese",conlang,"self-declared conlang"
"les-mots-vivants",conlang,"self-declared conlang"
"leshennir",conlang,"self-declared conlang"
"leshing",conlang,"self-declared conlang"
"lesnian",conlang,"hand-reviewed"
"levantine",unlisted,"default real private"
"lexico-asodatrapobulleren",glossary,"hand-reviewed"
"lexico-bullerenguero",delete,"0 entries, stale since 2023-12-07"
"lexico-del-futbol-colombi",glossary,"hand-reviewed"
"lexicon-del-sabanero",glossary,"hand-reviewed"
"lexis-definitions",glossary,"hand-reviewed"
"ley-dze-la-karn-isadi",conlang,"self-declared conlang"
"lgbt-inary",glossary,"hand-reviewed"
"lhomi",unlisted,"default real private"
"liangmai",delete,"hand-reviewed"
"lil3ilm-dictionary",glossary,"hand-reviewed"
"limon-kryol",unlisted,"default real private"
"limqarlanguage",conlang,"self-declared conlang"
"ling",conlang,"hand-reviewed"
"lingua-gorman",conlang,"self-declared conlang"
"lingua-lircheggiana",conlang,"self-declared conlang"
"lingualala",conlang,"self-declared conlang"
"linguish",conlang,"self-declared conlang"
"lingvo-di-novalna",conlang,"self-declared conlang"
"linternational",conlang,"self-declared conlang"
"litrelic",conlang,"self-declared conlang"
"livingdictionariesappyo",conlang,"self-declared conlang"
"livingdictionary",delete,"2 entries, stale since 2023-02-04"
"livinyite",conlang,"self-declared conlang"
"livonian",delete,"0 entries, stale since 2020-07-22"
"liydersprak",conlang,"self-declared conlang"
"lliones",unlisted,"default real private"
"loganese",conlang,"hand-reviewed"
"logistics--iae--matias",conlang,"self-declared conlang"
"logoian",conlang,"hand-reviewed"
"lokono-ajian",unlisted,"default real private"
"lombard",delete,"0 entries, stale since 2022-10-27"
"lomiran",conlang,"self-declared conlang"
"long-words",conlang,"self-declared conlang"
"lotegorisch",delete,"0 entries, stale since 2025-04-28"
"lotons",conlang,"hand-reviewed"
"lotons-rus",conlang,"hand-reviewed"
"lottes-dictionary",glossary,"hand-reviewed"
"louisiana-creole",public,"publicly listed"
"love",conlang,"self-declared conlang"
"lovers-of-william",conlang,"self-declared conlang"
"lovs",delete,"1 entries, stale since 2025-04-30"
"lucidian",delete,"1 entries, stale since 2025-03-15"
"lucumi",unlisted,"hand-reviewed"
"lugbara",public,"publicly listed"
"lumiinaus",conlang,"self-declared conlang"
"lunes---lingua-dos-lunati",conlang,"self-declared conlang"
"lungie",public,"publicly listed"
"luo",unlisted,"hand-reviewed"
"luri",unlisted,"default real private"
"luri-bakhtiari",delete,"2 entries, stale since 2022-10-27"
"lutariense",conlang,"hand-reviewed"
"lutrai",unlisted,"default real private"
"lycraeas",conlang,"hand-reviewed"
"maa",unlisted,"default real private"
"maa-maasai",delete,"2 entries, stale since 2022-10-27"
"macedonian",delete,"1 entries, stale since 2024-06-05"
"machodictionary",glossary,"hand-reviewed"
"maddys-deutsch-dictionary",glossary,"hand-reviewed"
"maeevangujjar",unlisted,"default real private"
"maefan",conlang,"self-declared conlang"
"magahi",unlisted,"default real private"
"magdhi",unlisted,"default real private"
"magicciano",conlang,"self-declared conlang"
"magpieorman",conlang,"self-declared conlang"
"mahakese",conlang,"self-declared conlang"
"mahali",delete,"0 entries, stale since 2023-05-01"
"mahasuvi",public,"publicly listed"
"mahaway",unlisted,"default real private"
"mai-coca-zio-bian",unlisted,"hand-reviewed"
"maic",delete,"0 entries, stale since 2025-03-03"
"maijki",delete,"0 entries, stale since 2023-10-24"
"maine-english-dictionary",conlang,"self-declared conlang"
"makalero",unlisted,"hand-reviewed"
"makarait",conlang,"self-declared conlang"
"malakkurava",delete,"2 entries, stale since 2022-10-27"
"malankkurava",delete,"2 entries, stale since 2024-10-23"
"malapulaya",public,"publicly listed"
"malayalam",delete,"1 entries, stale since 2020-07-20"
"malayalamlanguage",unlisted,"default real private"
"maltsa",conlang,"self-declared conlang"
"mam",public,"publicly listed"
"manchu",delete,"0 entries, stale since 2024-01-05"
"mancyunwa",unlisted,"default real private"
"mandan",unlisted,"default real private"
"mandanlanguage",unlisted,"default real private"
"mandarin-practice",glossary,"hand-reviewed"
"mandeali",delete,"0 entries, stale since 2022-10-27"
"mando-a",conlang,"self-declared conlang"
"mangghuer",delete,"1 entries, stale since 2022-10-27"
"mangonese",conlang,"self-declared conlang"
"manipuri",delete,"1 entries, stale since 2022-10-24"
"mannyc",conlang,"self-declared conlang"
"mansteshian",conlang,"self-declared conlang"
"manushya-language0000",conlang,"self-declared conlang"
"maoan",conlang,"self-declared conlang"
"maohi",conlang,"self-declared conlang"
"mapudungun",public,"publicly listed"
"mararit",unlisted,"hand-reviewed"
"marathi",unlisted,"default real private"
"markes",delete,"1 entries, stale since 2025-01-31"
"markesdictionary",delete,"0 entries, stale since 2025-02-27"
"markian",conlang,"self-declared conlang"
"marma",unlisted,"default real private"
"maropa",delete,"2 entries, stale since 2025-01-20"
"maroparey",unlisted,"default real private"
"marriam",conlang,"self-declared conlang"
"marshallese",unlisted,"default real private"
"marwari",delete,"0 entries, stale since 2025-01-01"
"masarak",unlisted,"default real private"
"masons-cool-dictionary",delete,"3 entries, stale since 2025-03-15"
"massa",unlisted,"hand-reviewed"
"math-dic",delete,"0 entries, stale since 2025-07-01"
"mathematics-4key-concept",delete,"1 entries, stale since 2024-07-01"
"mathemic",conlang,"self-declared conlang"
"matisian",conlang,"self-declared conlang"
"matthew",delete,"3 entries, stale since 2024-10-17"
"matukar",public,"publicly listed"
"max-dictionary",conlang,"self-declared conlang"
"may-lumi",conlang,"hand-reviewed"
"maya",delete,"2 entries, stale since 2024-10-04"
"mazahua",public,"publicly listed"
"mazahua-de-michoacan",unlisted,"default real private"
"mcgriddle",conlang,"hand-reviewed"
"mclul",delete,"3 entries, stale since 2025-02-04"
"media-lengua",unlisted,"default real private"
"medical-terms-in-english",glossary,"hand-reviewed"
"medonian",delete,"0 entries, stale since 2025-03-10"
"medreuz",conlang,"self-declared conlang"
"meglenoromanian",unlisted,"default real private"
"mehri",public,"publicly listed"
"mehweb",unlisted,"hand-reviewed"
"meilsu-tesh",conlang,"self-declared conlang"
"meiteilon",unlisted,"default real private"
"mekian",delete,"0 entries, stale since 2025-01-12"
"melinoa",conlang,"self-declared conlang"
"melmatian",conlang,"self-declared conlang"
"memoni",public,"publicly listed"
"merian-language",conlang,"self-declared conlang"
"merrianna",conlang,"self-declared conlang"
"miahuatec-zapotec",public,"publicly listed"
"middle-english",glossary,"hand-reviewed"
"middle-xavet",conlang,"self-declared conlang"
"mikmaq",unlisted,"default real private"
"mikmaw",unlisted,"default real private"
"milang",conlang,"self-declared conlang"
"milange",conlang,"self-declared conlang"
"milangrusia",conlang,"hand-reviewed"
"milangsprak",conlang,"self-declared conlang"
"milchig",delete,"1 entries, stale since 2025-05-22"
"miluk",unlisted,"hand-reviewed"
"minecraft-language",conlang,"self-declared conlang"
"mingang-doso",public,"publicly listed"
"mini-diccionario-ilustrad",glossary,"hand-reviewed"
"mini-dictionary",glossary,"hand-reviewed"
"mini-espanol",glossary,"hand-reviewed"
"mintiplor",conlang,"self-declared conlang"
"mirandese",unlisted,"default real private"
"mising",unlisted,"default real private"
"miskitu",unlisted,"default real private"
"mitchells-dictionary",glossary,"hand-reviewed"
"mitla-zapotec",unlisted,"default real private"
"mixteco-del-oeste-alto",unlisted,"default real private"
"mizuna",conlang,"self-declared conlang"
"mišär-tatar",public,"publicly listed"
"moari",glossary,"hand-reviewed"
"moba",public,"publicly listed"
"modern-crispish",conlang,"self-declared conlang"
"modern-gaulish",conlang,"self-declared conlang"
"modern-yaney",conlang,"self-declared conlang"
"mogholi",delete,"1 entries, stale since 2022-10-27"
"mojeno-trinitario",delete,"0 entries, stale since 2023-06-28"
"mokilese",public,"publicly listed"
"monchak",delete,"1 entries, stale since 2022-10-27"
"mongghul",delete,"1 entries, stale since 2022-10-27"
"mongui",unlisted,"default real private"
"monkox-besiro-chiquitano",public,"publicly listed"
"moors",conlang,"self-declared conlang"
"mopan",public,"publicly listed"
"moqoit",delete,"2 entries, stale since 2022-07-04"
"more-words-english",conlang,"hand-reviewed"
"morlemn",conlang,"self-declared conlang"
"morsbona",delete,"1 entries, stale since 2025-04-15"
"mortlockese",public,"publicly listed"
"movima",public,"publicly listed"
"mozarabe",delete,"0 entries, stale since 2024-12-21"
"mpag",glossary,"hand-reviewed"
"muisquismos-en-el-espanol",glossary,"hand-reviewed"
"mundus-world",delete,"hand-reviewed"
"muniche",unlisted,"default real private"
"muscogee-creek",delete,"0 entries, stale since 2022-10-27"
"muskatu--latviesu",delete,"0 entries, stale since 2025-01-09"
"muthuvan",public,"publicly listed"
