id,bucket,entry_count,last_edit,name
"elhosiny",glossary,6,2025-09-16T08:38:59.711Z,"English"
"elija",conlang,0,,"Elija"
"emmas-english",glossary,1,2025-11-08T02:27:51.814Z,"Emmas English"
"emoji",conlang,1,2025-09-06T17:55:59.122Z,"Emoji"
"engcom",glossary,0,,"English"
"englihs",conlang,1,2025-09-04T18:00:03.366Z,"Englihs"
"english-for-pet",glossary,2,2025-12-11T10:27:47.368Z,"English for PET"
"english-indonesia",glossary,1,2025-10-21T13:06:51.768Z,"English-Indonesia"
"english-liamsextonian",conlang,0,,"English-Liamsextonian"
"english-vietnamese",glossary,1,2025-10-19T12:17:33.344Z,"ENGLISH-VIETNAMESE"
"english20",glossary,0,,"English"
"englishlivingdictionaries",glossary,0,,"English"
"englishvocab",glossary,2,2025-08-14T06:04:15.068Z,"EnglishVocab"
"englishy",glossary,0,,"Englishy"
"enlgish",glossary,1,2025-10-07T18:27:04.611Z,"Enlgish"
"erins-norwegian-dictiona",glossary,1,2025-12-17T18:00:45.471Z,"Erin's norwegian dictionary"
"esahs-live-dictionary",glossary,2,2025-09-22T10:12:01.827Z,"Esah's Live Dictionary"
"espanol87420",glossary,0,,"Español"
"espanolcol",glossary,0,,"Español"
"experimental",conlang,4,2025-05-23T19:03:12.082Z,"Experimental"
"eyteyt",conlang,0,,"Eyteyt"
"family",glossary,1,2026-01-04T19:12:21.836Z,"Family"
"fariha",conlang,0,,"Fariha"
"feranic",conlang,0,,"Feranic"
"files",conlang,0,,"files"
"finnishlang",glossary,0,,"Finnishlang"
"food-names-english",glossary,0,,"Food names english"
"football-terms-dictionary",glossary,0,,"Football Terms Dictionary"
"fort-english",conlang,2,2025-11-03T06:21:54.450Z,"Fort English"
"francais-germanie",conlang,0,,"Francais-germanie"
"frances",glossary,6,2025-07-25T23:16:39.595Z,"Francés"
"french",glossary,0,,"French"
"frenchastghcom",conlang,1,2025-10-31T08:56:03.427Z,"French"
"frenchtoenglish",glossary,0,,"Frenchtoenglish"
"fyjo",conlang,1,2025-12-13T13:45:06.487Z,"Fyjø"
"gagner",glossary,1,2025-08-06T06:03:10.512Z,"English"
